pair_id,viewpoint_stress_level,model,source_keypoints,reference_keypoints,raw_matches,good_matches,inliers,inlier_ratio_pct,spatial_coverage_pct,rmse_px,median_px,p95_px,geometry_sanity,independent_validation,final_verdict,failure,physical_scale_ratio_ref_to_source,scale_metadata_consistent
pair_v1,5deg,Homography,21416,26361,21416,3762,3746,99.57469431153642,100.0,0.3924,0.1984,0.6756,PASS,FAIL,UNCERTAIN,,1.0,True
pair_v1,5deg,Affine,21416,26361,21416,3762,3745,99.54811270600744,100.0,1.2921476364135742,0.9711976647377014,2.385835409164428,PASS,NOT_APPLICABLE,NOT_APPLICABLE,,1.0,True
pair_v2,15deg,Homography,21416,24945,21416,2911,2890,99.27859841978702,100.0,0.4331,0.214,0.6906,PASS,FAIL,UNCERTAIN,,1.0,True
pair_v2,15deg,Affine,21416,24945,21416,2911,2055,70.5942974922707,100.0,2.459411144256592,2.0261600017547607,4.388223886489866,PASS,NOT_APPLICABLE,NOT_APPLICABLE,,1.0,True
pair_v3,30deg,Homography,21416,23341,21416,1341,1326,98.88143176733782,100.0,0.5377,0.2817,0.9184,PASS,FAIL,UNCERTAIN,,1.0,True
pair_v3,30deg,Affine,21416,23341,21416,1341,622,46.38329604772558,55.6,2.8346030712127686,2.3177876472473145,4.987007260322569,PASS,NOT_APPLICABLE,NOT_APPLICABLE,,1.0,True
pair_v4,45deg,Homography,21416,20291,21416,335,308,91.94029850746269,100.0,0.8912,0.3776,1.8794,PASS,FAIL,UNCERTAIN,,1.0,True
pair_v4,45deg,Affine,21416,20291,21416,335,158,47.16417910447761,44.4,2.3632235527038574,1.7419607639312744,4.293482136726381,PASS,NOT_APPLICABLE,NOT_APPLICABLE,,1.0,True
