pair_id,stress_level,scale_ratio,native_good_matches,native_inliers,native_inlier_ratio_pct,native_rmse_px,native_spatial_coverage_pct,native_geometry_status,normalized_good_matches,normalized_inliers,normalized_inlier_ratio_pct,normalized_rmse_px,normalized_spatial_coverage_pct,normalized_geometry_status,improvement_inlier_ratio_pct,improvement_rmse_px,native_ground_truth_error_px,normalized_ground_truth_error_px,failure_reason
pair_s1,1x,1.0,21416,21416,100.0,0.0,100.0,PASS,21416,21416,100.0,0.0,100.0,PASS,0.0,0.0,6.049431355154011e-12,6.049431355154011e-12,
pair_s2,2x,2.0,57,32,56.14035087719298,1.1372,100.0,PASS,48,31,64.58333333333334,1.2228,88.9,PASS,8.442982456140363,-0.08560000000000012,1.6687366962432861,1.4515185356140137,
pair_s3,4x,4.0,42,20,47.61904761904761,1.5722,66.7,PASS,27,14,51.85185185185185,1.6878,66.7,PASS,4.232804232804234,-0.11559999999999993,3.5346505641937256,5.710553169250488,
pair_s4,8x,8.0,26,9,34.61538461538461,11.3837,55.6,FAIL,12,7,58.333333333333336,0.6568,66.7,PASS,23.717948717948723,10.726899999999999,98.31631469726562,4.179481029510498,
